"","id","rank","workers","company","url","state_l","state_s","city","metro","growth","revenue","industry","yrs_on_list"
"3434",25401,3434,32,"Paradowski","paradowski","Missouri","MO","St. Louis","St. Louis MO-IL",97,12249216,"Advertising & Marketing",1
"3435",26486,3435,14,"Golden Link","golden-link","New York","NY","Washingtonville","Poughkeepsie-Newburgh-Middletown NY",97,15779948,"Business Products & Services",1
"3436",18554,3436,131,"Computerized Facility Integration","computerized-facility-integration","Michigan","MI","Southfield","Detroit",97,27934151,"IT Services",5
"3437",26099,3437,462,"KMS Technology","kms-technology","Georgia","GA","Atlanta","Atlanta",97,12752590,"IT Services",1
"3438",25995,3438,11,"Pizza Factory","pizza-factory","California","CA","Oakhurst","Madera CA",97,2900840,"Food & Beverage",1
"3439",22375,3439,98,"The Remi Group","the-remi-group","North Carolina","NC","Charlotte","Charlotte",97,56923729,"Business Products & Services",3
"3440",22174,3440,138,"The American Eagle Mortgage","the-american-eagle-mortgage","Ohio","OH","Lorain","Cleveland",97,17774301,"Real Estate",3
"3441",1952,3441,251,"Utopia","utopia","Illinois","IL","Mundelein","Chicago",97,22681949,"IT Services",6
"3442",2821,3442,120,"G&A Partners","ga-partners","Texas","TX","Houston","Houston",97,805736000,"Human Resources",10
"3443",24140,3443,85,"Momentum Physical Therapy & Sports Rehab","momentum-physical-therapy-sports-rehab","Texas","TX","San Antonio","San Antonio TX",96,6628242,"Health",2
"3444",25647,3444,355,"Exos","exos","Arizona","AZ","Phoenix","Phoenix",96,35184000,"Health",1
"3445",19869,3445,425,"StaffSource","staffsource","Tennessee","TN","Knoxville","Knoxville TN",96,4574981,"Human Resources",4
"3446",20332,3446,56,"Hycomp","hycomp","Utah","UT","Hyde Park","Logan UT-ID",96,5740889,"Manufacturing",4
"3447",26063,3447,132,"Advanced Flow Engineering","advanced-flow-engineering","California","CA","Corona","Riverside-San Bernardino-Ontario CA",96,22207482,"Manufacturing",1
"3448",24452,3448,25,"Yavapai Plumbing & Heating","yavapai-plumbing-heating","Arizona","AZ","Prescott Valley","Prescott AZ",96,2846621,"Construction",2
"3449",24834,3449,8,"Pantano Power Equipment","pantano-power-equipment","New Jersey","NJ","Manalapan","New York City",96,15703792,"Retail",1
"3450",21432,3450,122,"MIRACORP","miracorp","Arizona","AZ","Mesa","Phoenix",96,7071494,"Government Services",3
"3451",24903,3451,18,"Intellicure","intellicure","Texas","TX","The Woodlands","Houston",96,2314542,"Health",1
